Statistic,Month,Age Group,Sex,Social Welfare Scheme,UNIT,VALUE,VALUE_ANNUAL
Persons on Live Register,1967M12,All ages,Both sexes,All classes,Number,57395,50024
Persons on Live Register,1968M12,All ages,Both sexes,All classes,Number,54789,53064
Persons on Live Register,1969M11,All ages,Both sexes,All classes,Number,50952,51128.75
Persons on Live Register,1970M12,All ages,Both sexes,All classes,Number,62202,58779
Persons on Live Register,1971M12,All ages,Both sexes,All classes,Number,71108,57237.5
Persons on Live Register,1972M12,All ages,Both sexes,All classes,Number,69602,66566.75
Persons on Live Register,1973M12,All ages,Both sexes,All classes,Number,64585,62034.41667
Persons on Live Register,1974M12,All ages,Both sexes,All classes,Number,81102,67146.25
Persons on Live Register,1975M12,All ages,Both sexes,All classes,Number,109311,96167.91667
Persons on Live Register,1976M12,All ages,Both sexes,All classes,Number,111617,107813
Persons on Live Register,1977M12,All ages,Both sexes,All classes,Number,108152,106409.4167
Persons on Live Register,1978M12,All ages,Both sexes,All classes,Number,98367,99248.41667
Persons on Live Register,1979M12,All ages,Both sexes,All classes,Number,88593,89644.5
Persons on Live Register,1980M12,All ages,Both sexes,All classes,Number,122220,101480.5
Persons on Live Register,1981M12,All ages,Both sexes,All classes,Number,141146,127872.5
Persons on Live Register,1982M12,All ages,Both sexes,All classes,Number,179867,156591
Persons on Live Register,1983M12,All ages,Both sexes,All classes,Number,208041,192688.6667
Persons on Live Register,1984M12,All ages,Both sexes,All classes,Number,225445,214161.9167
Persons on Live Register,1985M12,All ages,Both sexes,All classes,Number,239867,230584.6667
Persons on Live Register,1986M12,All ages,Both sexes,All classes,Number,250178,236403.5833
Persons on Live Register,1987M12,All ages,Both sexes,All classes,Number,250083,247330.3333
Persons on Live Register,1988M12,All ages,Both sexes,All classes,Number,242946,241398.5833
Persons on Live Register,1989M12,All ages,Both sexes,All classes,Number,231128,231555.5
Persons on Live Register,1990M12,All ages,Both sexes,All classes,Number,232807,224709.25
Persons on Live Register,1991M12,All ages,Both sexes,All classes,Number,269214,253946.8333
Persons on Live Register,1992M12,All ages,Both sexes,All classes,Number,293719,283141.8333
Persons on Live Register,1993M12,All ages,Both sexes,All classes,Number,297089,294278.5833
Persons on Live Register,1994M12,All ages,Both sexes,All classes,Number,280183,282413.1667
Persons on Live Register,1995M12,All ages,Both sexes,All classes,Number,285423,277766.8333
Persons on Live Register,1996M12,All ages,Both sexes,All classes,Number,270156,279234.8333
Persons on Live Register,1997M12,All ages,Both sexes,All classes,Number,247730,254367
Persons on Live Register,1998M12,All ages,Both sexes,All classes,Number,215752,227095.9167
Persons on Live Register,1999M12,All ages,Both sexes,All classes,Number,176539,193259
Persons on Live Register,2000M12,All ages,Both sexes,All classes,Number,141586,155397.75
Persons on Live Register,2001M12,All ages,Both sexes,All classes,Number,152406,142253.3333
Persons on Live Register,2002M12,All ages,Both sexes,All classes,Number,166142,162465.3333
Persons on Live Register,2003M12,All ages,Both sexes,All classes,Number,170604,172414.1667
Persons on Live Register,2004M12,All ages,Both sexes,All classes,Number,158816,166013.4167
Persons on Live Register,2005M12,All ages,Both sexes,All classes,Number,155833,157116.5833
Persons on Live Register,2006M12,All ages,Both sexes,All classes,Number,155389,157397.9167
Persons on Live Register,2007M12,All ages,Both sexes,All classes,Number,170376,162309.1667
Persons on Live Register,2008M12,All ages,Both sexes,All classes,Number,290018,226734.9167
Persons on Live Register,2009M12,All ages,Both sexes,All classes,Number,423595,398158.9167
Persons on Live Register,2010M12,All ages,Both sexes,All classes,Number,437079,441689.3333
Persons on Live Register,2011M12,All ages,Both sexes,All classes,Number,434784,444904.6667
Persons on Live Register,2012M12,All ages,Both sexes,All classes,Number,423269,435693.5
Persons on Live Register,2013M12,All ages,Both sexes,All classes,Number,395068,418465.4167
Persons on Live Register,2014M12,All ages,Both sexes,All classes,Number,355860,383460.6667
Persons on Live Register,2015M12,All ages,Both sexes,All classes,Number,321373,343269.4167
Persons on Live Register,2016M12,All ages,Both sexes,All classes,Number,276502,302660.75
Persons on Live Register,2017M12,All ages,Both sexes,All classes,Number,236268,258580.0833
Persons on Live Register,2018M12,All ages,Both sexes,All classes,Number,199669,220064.5833
Persons on Live Register,2019M12,All ages,Both sexes,All classes,Number,181996,191528.5
Persons on Live Register,2020M12,All ages,Both sexes,All classes,Number,189860,208486.8333
Persons on Live Register,2021M12,All ages,Both sexes,All classes,Number,163856,175359.5833
